Winner,wins_r,losses_r,draws_r,height_cm_r,weight_in_kg_r,reach_in_cm_r,stance_r,significant_strikes_landed_per_minute_r,significant_striking_accuracy_r,significant_strikes_absorbed_per_minute_r,significant_strike_defence_r,average_takedowns_landed_per_15_minutes_r,takedown_accuracy_r,takedown_defense_r,average_submissions_attempted_per_15_minutes_r,wins_b,losses_b,draws_b,height_cm_b,weight_in_kg_b,reach_in_cm_b,stance_b,significant_strikes_landed_per_minute_b,significant_striking_accuracy_b,significant_strikes_absorbed_per_minute_b,significant_strike_defence_b,average_takedowns_landed_per_15_minutes_b,takedown_accuracy_b,takedown_defense_b,average_submissions_attempted_per_15_minutes_b
1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,13,14,1,177.8,120.2,182.88,Orthodox,2.81,43.0,2.9,51.0,0.51,55.0,64.0,0.2
1,17,9,0,167.64,70.31,167.64,Orthodox,4.42,46.0,3.07,59.0,3.89,40.0,82.0,1.1,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3
1,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,15,8,0,172.72,70.31,177.8,Orthodox,2.65,41.0,2.31,59.0,2.18,45.0,40.0,0.4
1,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,18,8,0,187.96,83.91,190.5,Orthodox,2.7,41.0,3.1,59.0,0.44,26.0,55.0,0.9
0,18,11,0,190.5,119.75,200.66,Southpaw,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,22,3,0,180.34,106.59,182.88,Orthodox,4.25,52.0,2.92,54.0,1.83,44.0,80.0,0.4
0,7,7,0,162.56,61.23,180.34,Southpaw,3.97,35.0,3.64,56.0,0.56,100.0,80.0,0.0,22,6,0,175.26,70.31,187.96,Southpaw,5.32,49.0,4.66,54.0,0.67,55.0,66.0,0.1
1,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,26,10,0,185.42,77.11,193.04,Southpaw,5.71,42.0,3.84,59.0,1.28,32.0,60.0,1.0
1,24,8,0,185.42,83.91,187.96,Southpaw,2.59,53.0,1.57,61.0,1.21,65.0,75.0,0.4,32,15,0,180.34,83.91,187.96,Orthodox,2.44,47.0,2.7,51.0,1.52,52.0,57.0,0.3
1,31,8,0,170.18,61.23,177.8,Orthodox,3.57,46.0,3.74,60.0,0.49,54.0,91.0,0.1,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3
0,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,19,12,1,193.04,119.75,208.28,Orthodox,2.89,45.0,3.09,50.0,0.82,29.0,66.0,0.8
1,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,22,12,0,160.02,61.23,167.64,Orthodox,3.2,40.0,3.58,61.0,0.71,28.0,82.0,0.0
1,26,14,0,182.88,83.91,187.96,Southpaw,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3
0,21,7,1,170.18,65.77,177.8,Orthodox,2.0,40.0,2.31,62.0,3.83,42.0,62.0,1.5,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8
0,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,14,3,0,185.42,108.86,195.58,Orthodox,6.37,57.0,2.33,57.0,5.13,45.0,85.0,0.4
0,18,13,1,177.8,65.77,172.72,Orthodox,2.77,24.0,4.79,52.0,0.3,26.0,42.0,0.5,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3
1,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,32,14,0,187.96,77.11,190.5,Orthodox,3.66,39.0,2.67,55.0,0.59,46.0,38.0,1.0
1,34,10,1,190.5,108.86,195.58,Orthodox,1.95,42.0,2.4,55.0,1.3,29.0,36.0,2.4,22,6,0,193.04,109.77,195.58,Orthodox,4.98,60.0,3.78,48.0,1.49,100.0,58.0,0.0
1,33,13,0,210.82,120.2,213.36,Orthodox,3.12,47.0,4.04,46.0,0.56,46.0,55.0,1.7,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0
0,28,8,0,162.56,56.7,165.1,Southpaw,3.52,34.0,2.67,61.0,1.41,30.0,62.0,0.6,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5
1,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,12,6,0,185.42,92.99,187.96,Orthodox,3.28,42.0,2.65,59.0,0.12,12.0,60.0,0.3
0,10,4,0,172.72,65.77,170.18,Orthodox,3.84,35.0,2.83,67.0,0.72,28.0,73.0,0.0,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3
1,24,7,0,175.26,77.11,177.8,Southpaw,2.93,45.0,1.79,63.0,2.4,45.0,63.0,0.8,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3
0,33,14,0,177.8,70.31,180.34,Southpaw,1.95,31.0,2.51,63.0,4.08,53.0,92.0,0.8,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8
1,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,13,5,1,165.1,56.7,162.56,Orthodox,3.59,39.0,3.25,67.0,2.08,30.0,88.0,0.0
1,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,5,2,0,172.72,65.77,,Orthodox,1.87,26.0,8.24,52.0,0.0,0.0,0.0,0.0
1,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0,11,2,0,193.04,113.4,,Southpaw,3.93,60.0,2.97,54.0,1.2,40.0,16.0,2.4
1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,18,11,0,190.5,119.75,200.66,Southpaw,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0
Draw,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,13,5,1,165.1,56.7,162.56,Orthodox,3.59,39.0,3.25,67.0,2.08,30.0,88.0,0.0
0,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,24,7,0,175.26,77.11,177.8,Southpaw,2.93,45.0,1.79,63.0,2.4,45.0,63.0,0.8
1,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0,12,6,0,195.58,113.4,200.66,Orthodox,2.3,47.0,3.0,37.0,3.29,42.0,100.0,0.6
1,29,8,0,175.26,70.31,182.88,Southpaw,5.49,50.0,4.3,53.0,1.36,36.0,63.0,1.2,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3
1,29,15,1,185.42,92.99,185.42,Southpaw,3.08,43.0,1.1,62.0,3.81,59.0,66.0,0.4,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3
0,9,5,2,172.72,70.31,172.72,Orthodox,3.06,32.0,2.99,70.0,2.07,50.0,80.0,0.0,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8
0,5,3,0,190.5,120.2,205.74,Orthodox,3.53,72.0,2.11,50.0,3.9,55.0,60.0,0.5,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8
1,18,11,0,190.5,119.75,200.66,Southpaw,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,34,10,1,190.5,108.86,195.58,Orthodox,1.95,42.0,2.4,55.0,1.3,29.0,36.0,2.4
1,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,23,10,0,185.42,83.91,,Orthodox,1.83,43.0,2.3,49.0,1.31,28.0,43.0,1.3
0,27,14,1,185.42,92.99,193.04,Orthodox,3.57,50.0,2.79,54.0,2.01,48.0,49.0,0.7,32,15,0,180.34,83.91,187.96,Orthodox,2.44,47.0,2.7,51.0,1.52,52.0,57.0,0.3
0,14,3,0,185.42,108.86,195.58,Orthodox,6.37,57.0,2.33,57.0,5.13,45.0,85.0,0.4,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1
0,17,14,0,185.42,83.91,190.5,Orthodox,4.92,36.0,5.27,54.0,0.48,18.0,75.0,0.0,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0
1,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,13,7,1,175.26,70.31,177.8,Orthodox,1.92,32.0,2.64,66.0,2.91,47.0,81.0,0.7
1,24,4,0,172.72,61.23,172.72,Orthodox,3.91,33.0,2.61,70.0,2.82,42.0,83.0,0.1,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5
0,45,9,0,175.26,77.11,185.42,Switch,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,17,11,0,177.8,77.11,185.42,Orthodox,1.79,36.0,2.27,63.0,2.46,48.0,64.0,0.4
1,34,10,1,190.5,108.86,195.58,Orthodox,1.95,42.0,2.4,55.0,1.3,29.0,36.0,2.4,10,5,0,193.04,111.13,198.12,Orthodox,2.92,37.0,2.22,57.0,2.32,46.0,72.0,0.4
1,24,4,0,172.72,61.23,172.72,Orthodox,3.91,33.0,2.61,70.0,2.82,42.0,83.0,0.1,35,11,0,167.64,61.23,170.18,Orthodox,2.65,40.0,2.59,64.0,1.54,30.0,58.0,0.8
0,12,2,0,187.96,120.2,203.2,Orthodox,4.38,47.0,3.53,53.0,1.42,33.0,42.0,0.0,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1
0,44,9,0,175.26,61.23,193.04,Orthodox,3.98,43.0,1.86,74.0,0.0,0.0,17.0,1.6,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5
1,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,31,9,1,182.88,77.11,182.88,Orthodox,2.45,36.0,1.8,56.0,2.83,29.0,35.0,1.2
1,24,8,0,185.42,83.91,187.96,Southpaw,2.59,53.0,1.57,61.0,1.21,65.0,75.0,0.4,19,11,0,185.42,92.99,190.5,Orthodox,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5
1,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,20,9,0,185.42,83.91,185.42,Orthodox,3.16,48.0,2.64,54.0,0.84,50.0,63.0,0.1
0,18,6,0,162.56,61.23,167.64,Southpaw,2.09,45.0,2.01,57.0,0.41,22.0,45.0,0.0,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5
Draw,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,13,7,1,175.26,70.31,177.8,Orthodox,1.92,32.0,2.64,66.0,2.91,47.0,81.0,0.7
1,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,17,11,0,177.8,77.11,185.42,Orthodox,1.79,36.0,2.27,63.0,2.46,48.0,64.0,0.4
0,45,9,0,175.26,77.11,185.42,Switch,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,16,14,2,175.26,70.31,177.8,Orthodox,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5
1,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,14,6,0,177.8,77.11,190.5,Orthodox,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0
1,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,16,14,2,175.26,70.31,177.8,Orthodox,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5
1,19,11,0,185.42,92.99,190.5,Orthodox,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,0,1,0,175.26,99.79,,Orthodox,0.0,0.0,2.41,27.0,0.0,0.0,0.0,0.0
0,22,14,0,182.88,119.29,185.42,Orthodox,2.18,36.0,4.79,46.0,1.14,27.0,65.0,0.1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1
1,45,9,0,175.26,77.11,185.42,Switch,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,13,5,0,182.88,77.11,187.96,Orthodox,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2
0,21,8,0,187.96,92.99,193.04,Orthodox,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0,29,7,0,185.42,83.91,193.04,Southpaw,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7
1,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,14,8,0,185.42,83.91,187.96,Orthodox,2.03,36.0,3.06,49.0,1.67,54.0,47.0,1.8
0,16,14,2,175.26,70.31,177.8,Orthodox,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3
1,45,9,0,175.26,77.11,185.42,Switch,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,13,7,1,177.8,83.91,,Orthodox,1.71,41.0,1.67,55.0,1.13,20.0,40.0,0.8
1,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,25,10,0,182.88,77.11,187.96,Orthodox,2.46,35.0,3.44,51.0,0.73,35.0,35.0,0.4
1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,17,11,0,187.96,109.77,193.04,Orthodox,2.12,45.0,2.94,57.0,2.8,39.0,66.0,1.1
1,14,3,0,185.42,108.86,195.58,Orthodox,6.37,57.0,2.33,57.0,5.13,45.0,85.0,0.4,34,10,1,190.5,108.86,195.58,Orthodox,1.95,42.0,2.4,55.0,1.3,29.0,36.0,2.4
1,35,13,1,180.34,92.99,187.96,Orthodox,2.79,40.0,2.19,60.0,0.97,53.0,62.0,0.6,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3
1,19,11,0,185.42,92.99,190.5,Orthodox,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,16,10,0,185.42,92.99,190.5,Orthodox,1.88,52.0,2.62,40.0,3.89,40.0,50.0,0.8
1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,39,16,1,187.96,102.06,195.58,Orthodox,1.05,47.0,1.78,50.0,0.0,0.0,25.0,1.0
1,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,17,5,0,180.34,70.31,,Orthodox,1.12,28.0,4.91,44.0,3.64,38.0,100.0,1.5
1,19,11,0,185.42,92.99,190.5,Orthodox,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,15,7,0,190.5,104.33,198.12,Orthodox,3.03,56.0,2.81,52.0,0.7,53.0,59.0,0.2
1,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,35,16,2,180.34,83.91,195.58,Orthodox,2.27,35.0,1.65,67.0,2.51,65.0,38.0,1.2
1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,35,11,2,187.96,104.33,185.42,Southpaw,2.11,50.0,1.89,63.0,0.19,40.0,78.0,0.3
1,34,10,1,190.5,108.86,195.58,Orthodox,1.95,42.0,2.4,55.0,1.3,29.0,36.0,2.4,19,11,0,185.42,92.99,190.5,Orthodox,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5
1,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,23,15,0,175.26,77.11,177.8,Orthodox,3.73,41.0,3.42,62.0,0.71,60.0,63.0,0.3
1,32,15,0,180.34,83.91,187.96,Orthodox,2.44,47.0,2.7,51.0,1.52,52.0,57.0,0.3,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3
1,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,36,4,1,167.64,70.31,170.18,Orthodox,2.17,35.0,2.71,55.0,4.09,46.0,56.0,0.4
1,45,9,0,175.26,77.11,185.42,Switch,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,11,7,0,167.64,77.11,172.72,Orthodox,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9
1,27,14,1,185.42,92.99,193.04,Orthodox,3.57,50.0,2.79,54.0,2.01,48.0,49.0,0.7,21,8,0,187.96,92.99,193.04,Orthodox,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0
1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,33,13,0,210.82,120.2,213.36,Orthodox,3.12,47.0,4.04,46.0,0.56,46.0,55.0,1.7
1,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,16,14,2,175.26,70.31,177.8,Orthodox,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5
1,32,15,0,180.34,83.91,187.96,Orthodox,2.44,47.0,2.7,51.0,1.52,52.0,57.0,0.3,29,7,0,185.42,83.91,193.04,Southpaw,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7
1,18,11,0,190.5,119.75,200.66,Southpaw,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,34,10,1,190.5,108.86,195.58,Orthodox,1.95,42.0,2.4,55.0,1.3,29.0,36.0,2.4
1,5,3,0,190.5,120.2,205.74,Orthodox,3.53,72.0,2.11,50.0,3.9,55.0,60.0,0.5,19,11,0,185.42,92.99,190.5,Orthodox,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5
1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,24,9,1,193.04,104.78,195.58,Orthodox,3.59,52.0,2.64,55.0,1.75,31.0,31.0,1.2
1,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,22,11,0,180.34,83.91,185.42,Southpaw,2.87,42.0,2.87,52.0,1.14,41.0,53.0,0.8
1,19,8,1,182.88,92.99,190.5,Orthodox,2.14,37.0,2.42,63.0,2.98,44.0,73.0,0.0,21,8,0,187.96,92.99,193.04,Orthodox,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0
1,32,15,0,180.34,83.91,187.96,Orthodox,2.44,47.0,2.7,51.0,1.52,52.0,57.0,0.3,19,8,0,172.72,77.11,180.34,Orthodox,1.75,51.0,2.04,59.0,3.93,45.0,0.0,4.1
1,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,30,7,1,182.88,77.11,187.96,Orthodox,2.61,50.0,1.65,54.0,3.6,51.0,56.0,0.8
